Predictor variable,Categorical,Sample average
bio1,false,141.69098143236073
bio10,false,196.08488063660477
bio11,false,91.63395225464191
bio12,false,571.8846153846154
bio13,false,115.61007957559681
bio14,false,1.339522546419098
bio15,false,84.87533156498674
bio16,false,304.9920424403183
bio17,false,9.240053050397877
bio18,false,20.079575596816976
bio19,false,300.9442970822281
bio2,false,134.27055702917772
bio3,false,53.751989389920425
bio4,false,4138.411140583555
bio5,false,279.88196286472146
bio6,false,29.90450928381963
bio7,false,249.97745358090185
bio8,false,94.35941644562334
bio9,false,185.85676392572944
