"","longitude","latitude","eventDate"
"133",-115.681684,30.826178,2022-06-25
"134",-115.720969,30.907413,2022-06-24
"135",-115.776748,30.898517,2022-06-25
"136",-115.785432,30.883892,2022-06-24
"137",-119.428407,37.778958,2022-06-14
"138",-121.630263,37.365056,2022-06-28
"139",-121.6991,37.547134,2022-06-07
"140",-122.427924,37.519808,2022-07-02
"141",-122.583179,37.454895,2022-07-08
"142",-122.483485,37.447221,2022-07-08
"143",-122.562779,37.570991,2022-07-08
"144",-122.482947,37.54018,2022-07-08
"145",-122.485528,37.419498,2022-07-08
"146",-121.827054,36.599743,2022-07-09
"147",-119.496101,37.683618,2022-07-10
"148",-122.383201,37.589546,2022-07-11
"149",-122.55949,38.333945,2022-07-12
"150",-122.433366,37.864091,2022-07-13
"151",-122.352252,37.447018,2022-07-14
"152",-122.323575,37.559178,2022-07-14
"153",-120.468855,38.628757,2022-07-19
"154",-121.859418,36.534975,2022-07-13
"155",-122.225224,37.570301,2022-07-21
"156",-122.328156,37.413163,2022-07-10
"157",-121.115849,36.414973,2022-07-23
"158",-120.895914,35.374946,2022-07-25
"159",-122.547278,37.223879,2022-07-30
"160",-122.418397,37.309523,2022-07-29
"161",-122.207005,37.277106,2022-07-30
"162",-122.40522,37.710654,2022-07-12
"163",-122.213677,37.436208,2022-08-05
"164",-122.444545,38.229922,2022-08-06
"165",-122.545794,38.272154,2022-08-04
"166",-122.486576,38.331295,2022-08-06
"167",-122.935421,38.180992,2022-08-04
"168",-122.575582,38.215918,2022-08-09
"169",-122.49495,37.86068,2022-08-11
"170",-122.922962,38.164666,2022-08-19
"171",-122.422776,37.74264,2022-08-20
"172",-122.25146,37.516228,2022-08-22
"173",-122.483225,37.702552,2022-08-27
"174",-115.614081,30.871867,2022-08-03
"175",-122.479989,38.209912,2022-08-02
"176",-115.604773,30.955151,2022-08-02
"177",-115.790457,30.966623,2022-08-03
"178",-121.872683,36.437416,2022-09-01
"179",-121.616599,37.603591,2022-09-01
"180",-122.072909,37.655586,2022-09-01
"181",-122.529043,37.720352,2022-09-02
"182",-122.413821,37.835616,2022-09-02
"183",-122.134042,38.495991,2022-09-01
"184",-122.42753,37.406426,2022-09-04
"185",-122.240606,37.536002,2022-09-04
"186",-122.347743,37.423531,2022-09-04
"187",-122.517636,37.245727,2022-09-05
"188",-119.963519,34.700203,2022-09-09
"189",-118.843069,34.535454,2022-09-10
"190",-122.561237,37.894032,2022-09-14
"191",-121.771104,37.699443,2022-09-15
"192",-122.184407,37.928701,2022-09-17
"193",-122.18442,37.821088,2022-09-16
"194",-122.080788,37.968639,2022-09-17
"195",-122.052147,37.941724,2022-09-17
"196",-122.066208,37.829293,2022-09-17
"197",-122.142473,37.907926,2022-09-17
"198",-122.707566,38.328052,2022-09-19
"199",-122.13882,37.93431,2022-09-17
"200",-121.735265,37.293748,2022-09-27
"201",-122.692421,38.391684,2022-09-30
"202",-121.951744,37.909025,2022-09-29
"203",-121.602071,37.29532,2022-09-27
"204",-121.646993,37.293364,2022-09-27
"205",-121.084409,36.570915,2022-09-19
"206",-122.187635,37.992747,2022-10-05
"207",-122.136685,37.932126,2022-10-05
"208",-115.665328,30.841135,2022-10-09
"209",-115.794667,30.992022,2022-10-07
"210",-115.623049,30.851951,2022-10-07
"211",-122.496567,37.829057,2022-10-11
"212",-122.528716,37.96082,2022-10-11
"213",-122.1673,37.293415,2022-10-18
"214",-122.429661,37.867801,2022-10-18
"215",-122.491173,37.876365,2022-10-31
"216",-122.289193,37.748659,2022-10-14
"217",-120.332212,34.505318,2022-10-25
"218",-120.716215,35.071049,2022-11-03
"219",-122.630538,38.326854,2022-11-06
"220",-122.708952,38.2969,2022-11-06
"221",-122.665156,38.359252,2022-11-06
"222",-122.737124,38.247059,2022-11-06
"223",-122.721461,38.292359,2022-11-07
"224",-122.760191,38.387507,2022-11-07
"225",-122.676615,38.291824,2022-11-08
"226",-115.737907,30.809014,2022-11-09
"227",-122.793779,38.263667,2022-11-09
"228",-121.094596,36.430709,2022-11-09
"229",-122.667675,38.210854,2022-11-17
"230",-122.647881,38.346928,2022-11-22
"231",-115.623305,30.839219,2022-11-21
"232",-122.761737,38.001984,2022-11-20
"233",-122.761324,38.30131,2022-12-03
"234",-122.646924,38.318795,2022-12-03
"235",-122.790589,38.246304,2022-12-03
"236",-122.741616,38.374314,2022-12-03
"237",-122.664974,38.306945,2022-12-03
"238",-122.734914,38.261826,2022-12-03
"239",-122.778917,38.363316,2022-12-03
"240",-122.683227,38.2725,2022-12-03
"241",-122.716019,38.398435,2022-12-03
"242",-122.778082,38.3146,2022-12-03
"243",-122.646612,38.343537,2022-12-04
"244",-122.685416,38.287132,2022-12-04
"245",-122.722303,38.232421,2022-12-03
"246",-122.682169,38.270675,2022-12-04
"247",-122.697212,38.24498,2022-12-04
"248",-122.674067,38.259754,2022-12-04
"249",-122.773575,38.281353,2022-12-05
"250",-122.710724,38.364401,2022-12-08
"251",-122.737119,38.265952,2022-12-08
"252",-122.69509,38.300099,2022-12-04
"253",-122.748264,38.304273,2022-12-05
"254",-122.603911,38.262556,2022-12-03
"255",-122.691214,38.390795,2022-12-10
"256",-122.697003,38.303514,2022-12-04
"257",-122.679954,38.239092,2022-12-11
"258",-122.767139,38.278888,2022-12-11
"259",-121.538105,37.683136,2022-12-10
"260",-122.459127,37.780321,2022-12-17
"261",-120.057883,34.503144,2022-12-18
"262",-122.61299,38.274612,2022-12-23
"263",-122.67155,38.283548,2022-12-23
"264",-122.69513,38.214102,2022-12-26
"265",-122.746056,38.224353,2022-12-27
"266",-122.733106,38.397034,2022-12-27
"267",-122.720484,38.265748,2022-12-29
"268",-122.642918,38.383102,2022-12-29
"269",-120.12224,34.406898,2022-12-29
"270",-122.785354,38.232598,2022-12-30
"271",-122.710183,38.398889,2022-12-30
"272",-122.405395,37.487101,2022-12-27
"273",-121.86894,36.987425,2021-01-02
"274",-120.074392,34.561894,2021-01-25
"275",-115.88691,31.01105,2021-01-21
"276",-115.716128,30.988588,2021-01-26
"277",-115.962493,31.114812,2021-01-21
"278",-115.807453,31.14098,2021-02-01
"279",-122.779252,38.283081,2021-02-01
"280",-122.766442,38.307623,2021-02-01
"281",-122.240163,37.15318,2021-02-01
"282",-122.723427,38.33801,2021-02-01
"283",-122.790632,38.256856,2021-02-01
"284",-122.799069,37.837436,2021-02-07
"285",-119.411081,34.511009,2021-02-12
"286",-122.47063,37.676988,2021-02-21
"287",-122.842075,38.003849,2021-02-22
"288",-122.829581,38.005749,2021-02-22
"289",-121.797466,36.656697,2021-02-24
"290",-122.245158,37.272476,2021-02-05
"291",-122.498028,37.55378,2021-02-22
"292",-119.307664,34.404651,2021-03-02
"293",-121.666981,36.885317,2021-03-06
"294",-122.479949,37.920029,2021-03-06
"295",-120.168779,34.42265,2021-03-07
"296",-121.52433,37.690976,2021-03-09
"297",-120.688137,35.251872,2021-03-12
"298",-122.453483,37.448296,2021-03-14
"299",-122.540144,37.493321,2021-03-16
"300",-120.04121,34.576019,2021-03-17
"301",-121.429784,37.783987,2021-03-18
"302",-115.756931,30.990041,2021-03-21
"303",-121.88656,37.74694,2021-03-25
"304",-122.575012,37.830185,2021-03-26
"305",-121.331932,37.164137,2021-03-26
